346 Faneuil St #1,Keegan,,,http://www.youtube.com/watch?v=LNE9_AKAMgc&feature=youtu.be
346 Faneuil St #2,Keegan,,,http://www.youtube.com/watch?v=NAOZbwpDcjc
331 Faneuil St #2,Keegan,,,http://www.youtube.com/watch?v=OZ_LDUOPA6M
335 Faneuil St #1,Keegan,,,http://www.youtube.com/watch?v=9Q0FIxhq6k4&feature=youtu.be
5 Donnybrook Rd,Keegan,,,http://www.youtube.com/watch?v=0VHWoDX8zgA
35 Mt Hood #3,Kiriaki,,,http://www.youtube.com/watch?v=vQoA-UW4w0I
96 Linden #1A,Mackin Group,,,http://www.youtube.com/watch?v=j-N69---5ig
89 Chester a1,Mackin Group,,,https://www.youtube.com/watch?v=8uTlTnjSNh8&feature=c4-overview&list=UUmKG0Rcx-l-f-MZE1TcwALA
97 chester a5,Mackin Group,,,https://www.youtube.com/watch?v=e1PnySx2lHU&list=UUmKG0Rcx-l-f-MZE1TcwALA&feature=c4-overview
318 St Paul St #5,Main Street Realty,,,http://www.youtube.com/watch?v=B2hZ377U1Uo
56 Egmont #4,Main Street Realty,,,http://www.youtube.com/watch?v=mLY9DkbjGzY
324 St Paul St #2,Main Street Realty,,,http://www.youtube.com/watch?v=Pz7Bm0kXJxQ
116 Warren St #8,Cohen,,,http://www.youtube.com/watch?v=leFS1XpT9ew&feature=youtu.be
28 Pinckney St #C,Cohen,,,http://www.youtube.com/watch?v=qbn10XLLyYI
30 Gardner Rd #1B,Cohen,,,http://www.youtube.com/watch?v=FhtrV8dc9hs
119 Brainerd Rd #4,Cohen,,,http://www.youtube.com/watch?v=TJr62tHJIc4&feature=youtu.be
30 Gardner Rd #6I,Cohen,,,http://www.youtube.com/watch?v=lvzRkNpANvA
85 Winchester #3,Cohen,,,http://www.youtube.com/watch?v=OrcOXviC50w&feature=youtu.be
16 Short St #4,Cohen,,,http://www.youtube.com/watch?v=pWCVN9D720A
63 Mt Vernon #62,Cohen,,,http://www.youtube.com/watch?v=9zxx0be7qDI&feature=youtu.be
122 Warren #11,Cohen,,,http://www.youtube.com/watch?v=JhsDzslRSEQ&feature=youtu.be
28 Grove St #7,Cohen,,,http://www.youtube.com/watch?v=4QztJ9aV1AM&feature=youtu.be
85 Winchester St #4,Cohen,,,http://www.youtube.com/watch?v=hS180QPtnuI
5 1/2 Joy St #1,Cohen,,,http://www.youtube.com/watch?v=IyLoz3bPfAw
20 Mt Vernon St #301,Cohen,,,http://www.youtube.com/watch?v=FjMK2_NlNCw&feature=youtu.be
120 Warren St #2,Cohen,,,http://www.youtube.com/watch?v=3L58QeZGtOQ&feature=youtu.be
120 Warren #20,Cohen,,,http://www.youtube.com/watch?v=Dk2fEEIz2Ww&feature=youtu.be
122 Warren #12A,Cohen,,,http://www.youtube.com/watch?v=g1bhTDBY198&feature=youtu.be
119 Brainerd Rd #6,Cohen,,,http://www.youtube.com/watch?v=uhBeMg5qQ20&feature=youtu.be
30 Bellevue #7,Cohen,,,http://www.youtube.com/watch?v=1mEtXgKmsiY&feature=youtu.be
26 Bellevue #7,Cohen,,,http://www.youtube.com/watch?v=bOlcQBg1I5w&feature=youtu.be
26 Bellevue St #12,Cohen,,,http://www.youtube.com/watch?v=dHZxHodTZSk&feature=youtu.be
30 Bellevue St #5,Cohen,,,http://www.youtube.com/watch?v=rN0ir196bYk&feature=youtu.be
119 Brainerd #17,Cohen,,,http://www.youtube.com/watch?v=rb7C7BSzV8E&feature=youtu.be
119 Brainerd #18,Cohen,,,http://www.youtube.com/watch?v=4xXdurGENc8&feature=youtu.be
146 Oxford St #8,Cohen,,,http://www.youtube.com/watch?v=Utt5SXm1wH0
116 warren # 21,Cohen,,,http://www.youtube.com/watch?v=jmOMX5KNg8c
63 Mt Vernon #51,Cohen,,,http://www.youtube.com/watch?v=Pm0yxdDpyGo
20 Mt Vernon #101,Cohen,,,http://www.youtube.com/watch?v=gYCqFsgJxUU
24 Mt Vernon #502,Cohen,,,http://www.youtube.com/watch?v=aqmCALNvWNk
146 Oxford #4,Cohen,,,http://www.youtube.com/watch?v=hwNiyrz189o
146 Oxford St #B,Cohen,,,http://www.youtube.com/watch?v=31oRyxgqn5s
18 Short St #3,Cohen,,,http://www.youtube.com/watch?v=EjVAn3_9hEs
30 Medfield #3,Cohen,,,http://www.youtube.com/watch?v=FXQg4dLCiCI
146 Oxford St #C,Cohen,,,http://www.youtube.com/watch?v=CYqNVJV5S48
30 Gardner Rd #5D,Cohen,,,http://www.youtube.com/watch?v=VN-VTvzDWF8
20 Mt Vernon #102,Cohen,,,http://www.youtube.com/watch?v=XSW724yP2CY
24 Mt Vernon #401,Cohen,,,http://www.youtube.com/watch?v=U-VKh85A618
122 Warren St #3,Cohen,,,http://www.youtube.com/watch?v=eq_KbGu59y8
120 Warren St #12A,Cohen,,,http://www.youtube.com/watch?v=jHRXNXkQmxM
120 Warren St #12,Cohen,,,http://www.youtube.com/watch?v=Ef94XGuWrt4
96 Longwood Ave #2,Cohen,,,http://www.youtube.com/watch?v=9XAu5IjP6sE
24 Mt Vernon #500,Cohen,,,http://www.youtube.com/watch?v=PkcmJaQ2qq0
30 gardner 1g,Cohen,,,http://www.youtube.com/watch?v=r-JquKx3f8g&feature=c4-overview&list=UUmKG0Rcx-l-f-MZE1TcwALA
120 warren # 18,Cohen,,,http://www.youtube.com/watch?v=sNAddFzi4bE&feature=c4-overview&list=UUmKG0Rcx-l-f-MZE1TcwALA
24 Mt Vernon St #501,Cohen,,,http://www.youtube.com/watch?v=uySzNPfRFc0
146 oxford # 11,Cohen,,,http://www.youtube.com/watch?v=Z5YRnxVULnQ&feature=c4-overview&list=UUmKG0Rcx-l-f-MZE1TcwALA
116 warren # 5,Cohen,,,http://www.youtube.com/watch?v=jqxFgKaljFI
116 warren # 24,Cohen,,,http://www.youtube.com/watch?v=j2sfE8WhqIY&list=TL888utqDgFfk
63 mt vernon # 4,Cohen,,,http://www.youtube.com/watch?v=4MZbmbUcZLc&list=TLw00i9Pata1o
20 Garden St #B,Cohen,,,http://www.youtube.com/watch?v=ySBX7SVJWdw
34 Medfield B2,Cohen,,,http://www.youtube.com/watch?v=WiLBcYuEV_8
26 Bellevue St #6,Cohen,,,http://www.youtube.com/watch?v=OGSEq_8Lf1U
119 Brainerd #14,Cohen,,,http://www.youtube.com/watch?v=Mpo7bdQc3Nw
20 Mt Vernon St #503,Cohen,,,http://www.youtube.com/watch?v=YfGyYEbjHOg
20 Mt Vernon St #202,Cohen,,,http://www.youtube.com/watch?v=DrCJW28tDKw
16 Short St #1B,Cohen,,,http://www.youtube.com/watch?v=ZK9tG_XnowA
20 Mt Vernon St #602,Cohen,,,http://www.youtube.com/watch?v=HkHeJPXSNCo
30 Medfield #B2,Cohen,,,http://www.youtube.com/watch?v=OunC7XTu-Ww
63 Mt Vernon St #3,Cohen,,,http://www.youtube.com/watch?v=1JLjKuVn8O8
119 Brainerd Rd #2,Cohen,,,http://www.youtube.com/watch?v=Oab7iS-Nts4
30 Gardner Rd #3E,Cohen,,,http://www.youtube.com/watch?v=eJiyqyHd-9M
30 Gardner Rd #5A,Cohen,,,http://www.youtube.com/watch?v=_rpQ1l98WRU
63 Mt Vernon St #61,Cohen,,,http://www.youtube.com/watch?v=-BLaPGxZWCM
148 Oxford St #2,Cohen,,,http://www.youtube.com/watch?v=_24YY5-Ndo4
63 Mt Vernon St #9,Cohen,,,http://www.youtube.com/watch?v=K7pbV0BQoHI
146 Oxford St #5,Cohen,,,http://www.youtube.com/watch?v=m5smoKbLDuE
16 Short St #1,Cohen,,,http://www.youtube.com/watch?v=6J0ckH5RzLM
24 Mt Vernon #402,Cohen,,,https://www.youtube.com/watch?v=866SlRNEQaw
120 Warren St #14,Cohen,,,https://www.youtube.com/watch?v=dJphpZ18TzM
116 Warren St #4,Cohen,,,https://www.youtube.com/watch?v=i5FzzmwwwC0
83 Winchester #4,Cohen,,,http://www.youtube.com/watch?v=A4aq-aEp2uY
116 Warren St #12,Cohen,,,http://www.youtube.com/watch?v=9xt7m4hyn1c
16 Short St #3,Cohen,,,http://www.youtube.com/watch?v=8n9sxVKYxU4
63 Mt Vernon St #52,Cohen,,,http://www.youtube.com/watch?v=oK9_FfWj0Z8
28 Grove St #9,Cohen,,,http://www.youtube.com/watch?v=MEphIkNpqeY
30 Bellevue St #15,Cohen,,,http://www.youtube.com/watch?v=xh_54W_tZpE
28 Grove St #8,Cohen,,,http://www.youtube.com/watch?v=2SaNihRjvvE
6 Perry St #8,Maria Louisa Vittoria,,,http://www.youtube.com/watch?v=xPZG-3QaqLw
76 Columbia St #1,Maria Louisa Vittoria,,,http://www.youtube.com/watch?v=nahc7wfHFrk
